               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.022185,            0.016462,          0.00095724,             0.92678,             0.91944,             0.96905,             0.65732,            0.019828,            0.013785,          0.00032891,            0.003457,            0.003457,            0.003457
                 132,            0.022264,            0.016673,          0.00077938,             0.92967,             0.89743,             0.96429,             0.65578,            0.020009,            0.013411,          0.00016774,           0.0033943,           0.0033943,           0.0033943
                 133,            0.022501,            0.016561,             0.00112,             0.93637,              0.9092,             0.97065,             0.66684,             0.01971,            0.013487,          0.00011307,           0.0033321,           0.0033321,           0.0033321
                 134,            0.022277,            0.016308,          0.00097577,             0.95456,             0.86708,             0.96809,             0.65979,            0.019659,            0.013532,          0.00014689,           0.0032704,           0.0032704,           0.0032704
                 135,            0.022262,            0.016288,           0.0011441,             0.92731,             0.87576,             0.96261,             0.65645,            0.019547,            0.013674,          0.00017614,           0.0032093,           0.0032093,           0.0032093
                 136,            0.021666,             0.01615,          0.00092659,             0.88078,             0.96006,             0.96984,             0.66205,            0.019289,            0.013437,          0.00013793,           0.0031488,           0.0031488,           0.0031488
                 137,            0.021551,            0.016071,          0.00085042,             0.97096,             0.85177,             0.96716,             0.68861,            0.019315,            0.013198,           0.0001081,           0.0030888,           0.0030888,           0.0030888
                 138,            0.021765,            0.016038,          0.00087553,             0.93968,             0.89495,             0.96339,             0.66569,            0.019206,            0.013276,          0.00013801,           0.0030294,           0.0030294,           0.0030294
                 139,            0.021033,              0.0156,          0.00087673,             0.92633,             0.92513,             0.96649,             0.67287,            0.019347,            0.013379,          0.00013388,           0.0029706,           0.0029706,           0.0029706
                 140,            0.021594,            0.015319,          0.00088967,             0.94999,             0.91188,             0.96928,             0.67991,            0.019476,            0.013461,          0.00014508,           0.0029125,           0.0029125,           0.0029125
                 141,            0.021748,            0.015685,          0.00088556,             0.97631,             0.87703,              0.9708,             0.69665,            0.018909,            0.013238,          0.00014504,            0.002855,            0.002855,            0.002855
                 142,            0.021052,            0.015689,          0.00086931,             0.94286,             0.92019,             0.97225,             0.68623,            0.019016,            0.013025,          0.00010227,           0.0027981,           0.0027981,           0.0027981
                 143,            0.021464,            0.015529,           0.0010713,             0.97951,             0.91412,             0.97478,             0.67427,            0.018748,            0.012854,          0.00011285,           0.0027419,           0.0027419,           0.0027419
